epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.887,0.85579,1.8631,1.40904,0.31133,0.46708,0.30152,0.1209,1.8095,2.36875,2.62665,0.000552832,0.000552832,0.000552832
2,135.032,0.8987,1.22083,1.43312,0.48853,0.49756,0.39171,0.18609,1.97523,1.76266,3.32551,0.00105363,0.00105363,0.00105363
3,160.711,0.89967,1.04601,1.4392,0.37643,0.47204,0.36814,0.17292,1.73179,1.7801,2.45794,0.00149941,0.00149941,0.00149941
4,186.075,0.8747,0.95237,1.4026,0.65906,0.64142,0.67598,0.38461,1.43963,1.26934,2.19617,0.00141945,0.00141945,0.00141945
5,211.356,0.83173,0.8589,1.37862,0.70751,0.66542,0.67268,0.3768,1.62066,1.19477,2.6218,0.00133693,0.00133693,0.00133693
6,236.794,0.80726,0.79732,1.36008,0.59138,0.52094,0.43778,0.26958,1.85486,1.89417,3.15855,0.00125442,0.00125442,0.00125442
7,262.08,0.75893,0.74016,1.32174,0.69208,0.65165,0.71472,0.4577,1.31912,1.0394,2.08945,0.0011719,0.0011719,0.0011719
8,287.445,0.73326,0.6934,1.29463,0.71658,0.6906,0.69352,0.41004,1.48475,0.94947,2.33258,0.00108938,0.00108938,0.00108938
9,312.699,0.69917,0.65156,1.28083,0.69208,0.65233,0.69573,0.43177,1.40014,1.12606,2.164,0.00100687,0.00100687,0.00100687
10,337.995,0.68994,0.62664,1.26356,0.82931,0.62622,0.73483,0.49275,1.20183,0.91268,1.91015,0.000924352,0.000924352,0.000924352
11,364.632,0.60402,0.48552,1.32329,0.72497,0.71367,0.75139,0.46864,1.33424,0.78441,2.18098,0.000841835,0.000841835,0.000841835
12,389.7,0.58211,0.41752,1.29898,0.84132,0.72828,0.82182,0.52947,1.2061,0.83985,1.91975,0.000759318,0.000759318,0.000759318
13,414.762,0.55172,0.37526,1.27091,0.73895,0.72782,0.74619,0.50647,1.19091,0.84886,1.97968,0.000676802,0.000676802,0.000676802
14,439.566,0.52984,0.36217,1.25045,0.78041,0.6848,0.78386,0.5302,1.18045,0.84999,1.95046,0.000594286,0.000594286,0.000594286
15,464.514,0.51027,0.32938,1.22856,0.76012,0.80028,0.83808,0.58482,1.06621,0.73512,1.72909,0.000511769,0.000511769,0.000511769
16,489.611,0.49183,0.31123,1.20778,0.73737,0.67248,0.75563,0.53928,1.02261,0.9951,1.71016,0.000429253,0.000429253,0.000429253
17,514.644,0.48182,0.29508,1.19228,0.71437,0.73734,0.74068,0.53209,1.02689,0.94401,1.67386,0.000346736,0.000346736,0.000346736
18,539.338,0.45719,0.27441,1.18056,0.77708,0.73248,0.79983,0.59147,1.01315,0.77409,1.6604,0.00026422,0.00026422,0.00026422
19,564.232,0.44178,0.265,1.16251,0.82602,0.77485,0.81199,0.57831,0.98275,0.74274,1.65118,0.000181703,0.000181703,0.000181703
20,588.892,0.43886,0.2478,1.15716,0.76234,0.77365,0.815,0.5874,1.02872,0.76965,1.66822,9.91865e-05,9.91865e-05,9.91865e-05
